id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t001,"Hey, it's been 5 days since I ordered my blender and the tracking info still hasn't changed. What’s going on with my order?",order_status,order_status,The customer is inquiring about the status of their order and tracking information.,True,baseline,v1,,
t002,"Hello, I placed an order for a blender five days ago and my tracking status hasn't budged. Can you provide an update on its whereabouts?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,baseline,v1,,
t003,"So, I ordered a blender five days ago, and the tracking page still says nothing. Can you please let me know what's happening?",order_status,order_status,The customer is inquiring about the status of their order and tracking information.,True,baseline,v1,,
t004,I never received my order and I want my money back.,order_status,refund_request,The customer is requesting a refund because they did not receive their order.,False,baseline,v1,,
t005,"I've been waiting for my order, and it's still not here! I demand a refund immediately!",order_status,refund_request,The customer is requesting a refund due to the delay in receiving their order.,False,baseline,v1,,
t006,"Hello, I'm reaching out because my order hasn't arrived yet. Could you please help me get a refund? My order number was 12543. Thank you!",order_status,refund_request,The customer is requesting a refund for an order that hasn't arrived.,False,baseline,v1,,
t007,"Order #98765 is missing, and I'm pretty upset about it. Can you just refund me already?",order_status,refund_request,The customer is requesting a refund due to a missing order.,False,baseline,v1,,
t008,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t009,"I was tracking my order #12345 for the Bluetooth headphones, and it says it was delivered last Tuesday, but it’s nowhere to be found! It’s not at my place, my neighbor’s, or even in the mailroom. What do I do next?",order_status,order_status,The customer is inquiring about the status and location of their order.,True,baseline,v1,,
t010,"I received a notification that my order #98765 for the kitchen gadgets was marked as delivered last Tuesday, but I can’t find it anywhere—neither at my door, nor in the mailroom, or with the neighbors. Can you help me resolve this?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t011,"So, my order #54321 for the athletic shoes shows as delivered last Tuesday, but I’ve looked everywhere—my door, the mailroom, and even asked the neighbors. What’s the next step? This is getting frustrating!",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,baseline,v1,,
t012,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,The customer is inquiring about the status of their order and the delay in shipping.,True,baseline,v1,,
t013,I can't believe it's been 9 days and my order hasn't arrived yet. The website promised 2-day shipping. What gives?,order_status,order_status,The customer is inquiring about the status of their order and its delayed delivery.,True,baseline,v1,,
t014,"I ordered my items over a week ago with the expectation of 2-day shipping, and here I am still waiting! Can you explain this delay?",order_status,order_status,The customer is inquiring about the status and delay of their order.,True,baseline,v1,,
t015,"Seriously, I was told my package would arrive in 2 days, but it's been 9 days now. What on earth is going on?",order_status,order_status,The customer is inquiring about the status of their delayed package.,True,baseline,v1,,
t016,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t017,The tracking link you sent in the email just keeps loading indefinitely. This is for my order #88421.,order_status,order_status,The customer is inquiring about the status of their order using the tracking link.,True,baseline,v1,,
t018,I can't believe the tracking link in your email hasn't worked at all. It's just a never-ending spin! My order number is 88421.,order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t019,Why is the tracking link in your email just spinning and not showing anything? Order number is 88421. This is really frustrating!,order_status,order_status,The customer is inquiring about the tracking link for their order.,True,baseline,v1,,
t020,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,The customer wants to return an item and get their money back.,True,baseline,v1,,
t021,I want to send back the headphones I ordered last week and receive a refund. They haven't been opened at all.,refund_request,refund_request,The customer wants to return an item and receive their money back.,True,baseline,v1,,
t022,Could you please assist me in returning the unopened headphones I purchased last week? I would like a full refund for them.,refund_request,refund_request,The customer is requesting a full refund for the unopened headphones.,True,baseline,v1,,
t023,"I'm looking to return the headphones I got last week. They’re still in the box and I want my money back, please.",refund_request,refund_request,The customer wants to return an item and receive their money back.,True,baseline,v1,,
t024,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,The customer is inquiring about the status of their refund.,True,baseline,v1,,
t025,"I'm really frustrated that my refund is still missing. I sent back the blender you guys sent me two weeks ago, and I haven't seen a credit on my card yet.",refund_request,refund_request,The customer is inquiring about a missing refund for a returned item.,True,baseline,v1,,
t026,"Hello, I hope you can assist me. It's been two weeks since I returned the shoes, and I still don't see the refund on my account. Could you please check on that for me?",refund_request,refund_request,The customer is inquiring about the status of a refund for returned shoes.,True,baseline,v1,,
t027,"What’s going on with my refund? I shipped back the jacket over two weeks ago, and my card is still empty. This is getting annoying.",refund_request,refund_request,The customer is inquiring about the status of their refund.,True,baseline,v1,,
t028,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,The customer is requesting a refund for their order.,True,baseline,v1,,
t029,I want to cancel my order 99021 and get my money back on my card. This is no longer necessary for me.,refund_request,refund_request,The customer wants to cancel their order and receive a refund.,True,baseline,v1,,
t030,Could you please process a cancellation for order 99021 and refund my card? I've changed my mind about the purchase.,refund_request,refund_request,The customer is requesting a cancellation and a refund for their order.,True,baseline,v1,,
t031,I'd like to cancel my order 99021 and have the funds returned to my card as I don't need it anymore.,refund_request,refund_request,The customer wants to cancel their order and request a refund.,True,baseline,v1,,
t032,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,The customer is requesting a refund for the difference in price charged.,True,baseline,v1,,
t033,"I can't believe I was charged $89 when the site clearly said $79 during checkout! This is unacceptable — I need a refund for the difference, ASAP!",refund_request,refund_request,The customer is requesting a refund due to a discrepancy in the charged amount.,True,baseline,v1,,
t034,"Hello, I noticed that my order was charged $89, yet I only saw a price of $79 at checkout. Could you please process a refund for the discrepancy? Thank you!",refund_request,refund_request,The customer is requesting a refund due to a discrepancy in the charged amount.,True,baseline,v1,,
t035,"Hey, what gives? My order total was $89 but the checkout showed $79. Can I get the $10 difference refunded, please?",refund_request,refund_request,The customer is requesting a refund for a discrepancy in the order total.,True,baseline,v1,,
t036,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,The customer is requesting a refund to their original card.,True,baseline,v1,,
t037,"I just want to return these items for store credit, but if it's possible, I would much rather have the money refunded back to my card instead.",refund_request,refund_request,The customer is requesting a refund for returned items.,True,baseline,v1,,
t038,"I’m okay with returning these for store credit, but let's be real, I would strongly prefer a refund to my original payment method.",refund_request,refund_request,The customer is requesting a refund to their original payment method.,True,baseline,v1,,
t039,"Sure, I can return these for store credit, but honestly, I'd really like to just get my money back on the card I used to pay.",refund_request,refund_request,The customer explicitly requests to get their money back on the card used for payment.,True,baseline,v1,,
t040,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,The item arrived broken.,True,baseline,v1,,
t041,I can't believe my coffee maker got here with a shattered carafe. This is so disappointing!,product_issue,product_issue,The customer is reporting that the item arrived broken.,True,baseline,v1,,
t042,"I received my coffee maker today, but unfortunately, the carafe is cracked. I'm really not happy about this.",product_issue,product_issue,"The customer is reporting a problem with the item they received, specifically that it is damaged.",True,baseline,v1,,
t043,"So, my order of a coffee maker (Order #12345) arrived, but guess what? The carafe is broken. What a letdown!",product_issue,product_issue,"The item arrived broken, which indicates a product issue.",True,baseline,v1,,
t044,"My laptop arrived damaged and I want a full refund, not a replacement.",product_issue,refund_request,The customer is requesting a full refund for a damaged laptop.,False,baseline,v1,,
t045,"I received my laptop in a damaged condition and I expect a complete refund, not a replacement.",product_issue,refund_request,The customer is requesting a complete refund for a damaged laptop.,False,baseline,v1,,
t046,"I'm really unhappy because my laptop showed up broken, and I just want my money back instead of getting a new one.",product_issue,refund_request,The customer wants their money back for a broken laptop.,False,baseline,v1,,
t047,The laptop I ordered came in with damage and I'd prefer a full refund rather than a replacement.,product_issue,refund_request,The customer wants their money back for a damaged item.,False,baseline,v1,,
t048,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t049,"I can't believe this happened again! I ordered a large shirt, but you sent me a medium. This is the second time I've faced this issue!",product_issue,product_issue,"The customer received the wrong item size, indicating a product issue.",True,baseline,v1,,
t050,"I appreciate your help, but I received a medium shirt instead of the large I ordered. This is the second occurrence of this problem, and it's getting quite frustrating.",product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t051,"Look, this is getting ridiculous. I ordered a large shirt, and once again you sent me a medium. Can we please get it right this time?",product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t052,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,product_issue,The customer is reporting a problem with the product description being misleading.,True,baseline,v1,,
t053,I'm really annoyed that the description claimed it was 'wireless' when I ended up having to get a separate dongle to use it. That feels pretty misleading.,product_issue,product_issue,The customer is upset about the product not matching its description.,True,baseline,v1,,
t054,"Could you please clarify why the product is labeled as 'wireless'? I ended up needing to purchase a dongle separately, which seems misleading. Thank you.",product_issue,other,"The customer is asking for clarification about product labeling, which does not fit into the other specified categories.",False,baseline,v1,,
t055,"I ordered item #45782, expecting it to be truly 'wireless' as described, but I had to buy an extra dongle to make it work. This is incredibly misleading!",product_issue,product_issue,The customer is reporting that the item did not match the description and required additional equipment to function.,True,baseline,v1,,
t056,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,The item arrived damaged and missing parts.,True,baseline,v1,,
t057,"The product is functioning without issues, but the packaging arrived damaged and I'm missing the instruction manual.",product_issue,product_issue,"The packaging was damaged and the instruction manual is missing, indicating a product issue.",True,baseline,v1,,
